principal_component,air_obs,soil_obs_02,soil_obs_04,soil_obs_08,soil_obs_20,soil_obs_40
PC1,0.3704415778988075,0.4176922726868313,0.4251497573236659,0.42609604657029,0.4187228909224822,0.38815871272440633
PC2,0.7079700264353556,0.2270935681192753,0.054134707094160205,-0.06099966809349949,-0.2942232193712728,-0.5949690110846901
PC3,0.6007370836779158,-0.5046688503637458,-0.3266317974175003,-0.20063601584275148,0.059390807579919505,0.4836878102704813
PC4,-0.025042109967733726,0.5779688867411445,-0.08766248043889958,-0.3766074110591346,-0.5307139489249696,0.48389018440413417
PC5,0.006068570140835061,0.3964281262528342,-0.4754323627894305,-0.40871636284770524,0.6501656593751305,-0.16433968386977202
PC6,0.0015813007070594315,-0.1675342794892151,0.6898609600397961,-0.6823372929953911,0.17379266256402945,-0.015282327169023186
