principal_component,air_obs,soil_obs_02,soil_obs_04,soil_obs_08,soil_obs_20,soil_obs_40
PC1,0.3575381399852039,0.4271417023714774,0.42990787782458156,0.4347973084763825,0.4202029784157463,0.37319755975583724
PC2,0.6517983780622314,0.1911660050117463,0.14613923110983032,0.01147110697116384,-0.3547558764207144,-0.6255193361229918
PC3,0.6640015223773467,-0.37286473164902134,-0.35144234697070575,-0.26953379714073544,0.03327558721849781,0.472023743494703
PC4,0.0790333062673472,-0.2666294998776889,-0.22292085048619878,0.08236790481391267,0.787355716291838,-0.4962411157825077
PC5,0.012858431405151919,-0.4989334040319671,-0.08488330467078574,0.8179600755885637,-0.27297866677355764,0.010904398228287216
PC6,0.003965896390811375,-0.567407776340258,0.7832061909084931,-0.2496559421387037,0.04498981973590061,-0.01638829496920462
