principal_component,air_obs,soil_obs_02,soil_obs_08,soil_obs_20
PC1,0.4615304534683512,0.5197010802848152,0.5181189312602515,0.49845080072343084
PC2,0.8351468913866238,-0.03340831912536091,-0.2315062871301394,-0.49781361275048963
PC3,0.2957372933623614,-0.6279806911082397,-0.27395004922601335,0.6656809111270858
PC4,0.0453736007306213,-0.5783034868987315,0.776472138983761,-0.24616525095855696
