principal_component,air_obs,soil_obs_02,soil_obs_04,soil_obs_08,soil_obs_20,soil_obs_40
PC1,0.34852521634777617,0.4297729500651155,0.43348356007406075,0.4375361174522622,0.4265708840234705,0.3640285908219516
PC2,0.6712080648629751,0.18602399378760603,0.127288410915972,-0.02019437920136223,-0.2986459490522025,-0.6395899092450374
PC3,0.6505510258553133,-0.36398755597219196,-0.34287933865286974,-0.26495681005232546,0.02364175665907331,0.5059339256562355
PC4,0.06605841142464117,-0.4294598241468831,-0.22810392730059018,0.2749531625883572,0.7016713469595294,-0.43729535020680027
PC5,0.020571445236352237,-0.39284671311207525,-0.018733697697517968,0.7732895659720753,-0.48549946988485837,0.10588123586710654
PC6,0.0025242646802458818,-0.556272472504072,0.7911643758648387,-0.25372470774788103,0.015379562989175179,-0.0008581986627403397
