principal_component,air_obs,soil_obs_02,soil_obs_04,soil_obs_08,soil_obs_20,soil_obs_40
PC1,0.06958999765813,0.4419316776977721,0.45003286408850246,0.4502034001954851,0.44555959558900904,0.4428516579447978
PC2,0.9556023298988505,0.1768790006111415,0.04873658075146195,-0.0606224463168304,-0.14485141804066357,-0.168836422686341
PC3,-0.27869998866177026,0.5655586966155394,0.3871800206751132,0.0269229237705938,-0.3954160071672147,-0.5435831546728256
PC4,0.0629984015412056,-0.5613101914230976,0.26496749930667,0.6532749181647981,0.043336736164936454,-0.4267412603842466
PC5,0.017985495378186687,-0.3507348181350266,0.6587036984120886,-0.2740804111940189,-0.4486780155746983,0.40784680155874103
PC6,0.003931793104129464,-0.12437655898489927,0.3756174390738276,-0.5394708362155672,0.6488072598118999,-0.3625560763936136
