principal_component,air_obs,soil_obs_00,soil_obs_02,soil_obs_08,soil_obs_20
PC1,0.40112013231778126,0.4200826882323515,0.49515533138070766,0.47849728622742405,0.43415978553419543
PC2,0.5797696567084843,0.49891313380491153,-0.114906018538676,-0.29710332074204865,-0.5598920018938698
PC3,-0.6991774303053038,0.7021734768568066,0.08306207763902014,-0.02243248671112352,-0.10344469125450811
PC4,-0.08015252475821213,-0.14420719202114463,-0.015741984040968805,0.7695944116286833,-0.6166494061236218
PC5,-0.08772843516242675,-0.2465216301516838,0.8570126521269067,-0.2999853146520577,-0.32721389429365627
