principal_component,air_obs,soil_obs_02,soil_obs_04,soil_obs_08,soil_obs_20,soil_obs_40
PC1,0.34844916370821255,0.4260855489009632,0.45404475210706896,0.45826127852872656,0.4129773678570348,0.3321504819384355
PC2,-0.5181463091360867,-0.3412000423619582,-0.14105047262152556,0.0015236797926243813,0.4244423760874626,0.644249986709516
PC3,0.7725517774340225,-0.3195352406762439,-0.3072159309225548,-0.30348749786178836,0.08990817046212277,0.3263299135271548
PC4,0.08334989953194342,-0.45763111858002464,-0.0584935161804,0.3059240121523052,0.5925394124415477,-0.5792344996735992
PC5,0.0795238093007096,-0.5048560107972925,0.1342178484426573,0.6313484691201159,-0.5385528078547063,0.17928169166724758
PC6,0.0003030273091982395,-0.36827304238156894,0.8112524741219218,-0.4535407666032014,0.008532394651868,-0.02173174937776753
