principal_component,air_obs,soil_obs_00,soil_obs_02,soil_obs_08,soil_obs_20
PC1,0.40024772409820264,0.4624265586425157,0.46161868808457723,0.4616776106042502,0.44690648674423267
PC2,0.8744153992888237,-0.11926028820098006,-0.011758750677020953,-0.22984950405379756,-0.4101287973472786
PC3,0.27317333140531985,-0.28297683194808376,-0.6069797650087367,-0.014801623081743062,0.6904034475678917
PC4,-0.009692442459098652,0.8080389750977043,-0.34485353712109457,-0.477061701048762,0.0216157953765304
PC5,0.0219512279581893,0.19732153664498095,-0.5471942263936989,0.7114886047573645,-0.39363028169719316
