principal_component,air_obs,soil_obs_00,soil_obs_02,soil_obs_08,soil_obs_20
PC1,0.4426923367117368,0.44776717114299824,0.45449293794406237,0.4772726742149909,0.41130890978672696
PC2,0.10647396143489064,-0.5092931411564227,-0.474562919511084,0.26244214638932556,0.6596953441787096
PC3,0.8892957797693819,-0.15767718834462924,-0.15707388871288447,-0.30644151136019454,-0.2563441319008326
PC4,0.029780192039875787,-0.5738162552689495,0.31971118392163383,0.5995115317752414,-0.45630990291151785
PC5,-0.030869836402205007,-0.4312746993303378,0.6643333178037443,-0.5000144374215795,0.34884952650659834
