principal_component,air_obs,soil_obs_02,soil_obs_04,soil_obs_08,soil_obs_20,soil_obs_40
PC1,0.4502416058244173,0.49725520581927474,0.4999122332546854,0.5009777649697952,0.17515095429360117,0.1358342295907142
PC2,-0.1771604091684995,-0.13744368145699257,-0.11092728629001478,-0.017578419465570573,0.6724448152487105,0.6963673819338125
PC3,0.07008302734028946,0.061273625031631765,0.023013326965946213,-0.09403413594942353,-0.6970562686414674,0.7043255203101341
PC4,0.8704742157781419,-0.2362817545920164,-0.31166260573601345,-0.27830814524877173,0.10800282787091069,0.01385488210923376
PC5,0.04338711849018049,-0.64271011377368,-0.10357451790786201,0.7451028032769339,-0.13704318822295372,0.018829868635703767
PC6,0.03711135542214098,-0.5110642617994365,0.7933423109897749,-0.3274694616116886,0.0284117182932939,-0.0007557637892682646
