principal_component,air_obs,soil_obs_00,soil_obs_02,soil_obs_08,soil_obs_20
PC1,0.43097495473889136,0.4327328819716818,0.46882194084891715,0.4640793492725824,0.4379945052231644
PC2,0.10081413554525599,0.6226910648308931,0.2866677196966102,-0.3937617714179182,-0.6040410861090498
PC3,0.8912724960054802,-0.21373194419254743,-0.3315687025867802,-0.20109963555630117,-0.0978423524854047
PC4,-0.0902561235260257,0.48239753362210186,-0.43768160154411806,-0.475420527723951,0.5844284295016998
PC5,0.03980287040265356,-0.38289602534792355,0.6297020068233035,-0.6025913070617287,0.3035876554420708
