principal_component,air_avg,soil_avg_02,soil_avg_04,soil_avg_08,soil_avg_20,soil_avg_40
PC1,0.06251129091749023,0.4422327806015445,0.4499587367104244,0.45020706347956546,0.44591581005761516,0.44331967231443914
PC2,0.9597018594274854,0.17219764363944962,0.04568706029032795,-0.05548814434395942,-0.13694685356904807,-0.15937261431399777
PC3,0.2643743033392006,-0.5547647872369126,-0.38156794913092434,-0.056290476943196846,0.3941512310456756,0.5641137722504225
PC4,0.06974242107866822,-0.5681896793058092,0.22859012533350215,0.664769940370429,0.06627443240743686,-0.4168113045748995
PC5,0.016054278933335997,-0.32886647627305104,0.5882767837035724,-0.14693645027541408,-0.5677425151575076,0.4489962613765793
PC6,-0.007011567812200833,0.18979330663260596,-0.5015303663103575,0.5723256537988098,-0.5480197011012256,0.29071357648304574
