principal_component,air_avg,soil_avg_02,soil_avg_04,soil_avg_08,soil_avg_20,soil_avg_40
PC1,0.45508259181792615,0.5000843737561428,0.5041152721414032,0.5033773195205655,0.1536155267834087,0.10815170024715663
PC2,-0.1821415020942071,-0.1257521423324519,-0.08601328072941429,0.01930189781507904,0.6793032156572547,0.6941089002384835
PC3,0.09451211879661281,0.06889405180530019,0.010614774724809851,-0.10851235222178363,-0.6843696306343402,0.7113871475256475
PC4,0.8648740306583405,-0.2543887687899984,-0.3277641539130784,-0.24572846035821092,0.13909521163083968,0.01095311313294277
PC5,0.01742588905498073,-0.624606568110423,-0.10486163081584443,0.7559539836458898,-0.16368058980349467,0.017585533204730174
PC6,0.049809805492079584,-0.5239356991429405,0.7873573091562615,-0.3203355720618854,0.021185051737903353,0.0038921733385170417
