principal_component,air_avg,soil_avg_00,soil_avg_02,soil_avg_08,soil_avg_20
PC1,0.40170688763685536,0.4639040845225141,0.4610060538722391,0.4612020066416991,0.44518614550686014
PC2,0.8490696132939782,-0.09309496188462385,0.049050897951805866,-0.26652595252953776,-0.4438153285893346
PC3,-0.3399463136960426,0.2624063362604522,0.6470245777679354,-0.006480383486517623,-0.6299973165728016
PC4,-0.02580586528787292,0.836145584677729,-0.4048357650602358,-0.3658151622573021,-0.04981856011006582
PC5,0.03850882141978813,0.09016542768341804,-0.45003847257271934,0.7631473628274059,-0.45327556975587685
