principal_component,air_avg,soil_avg_02,soil_avg_08,soil_avg_20
PC1,0.4403812155640883,0.5230941404937035,0.5219127771469262,0.5099450541090012
PC2,0.8856939136332608,-0.14908363338550595,-0.23453503758377361,-0.3719054688427593
PC3,0.14643705482255776,-0.6216862053404205,-0.22069267054028832,0.7371276661706032
PC4,0.012917635472086119,-0.5636070018436236,0.7898703149037548,-0.24142321305229844
