principal_component,air_avg,soil_avg_02,soil_avg_04,soil_avg_08,soil_avg_20,soil_avg_40
PC1,0.3525058414944323,0.43106771101465047,0.43487043228914124,0.44004824121067526,0.42215678432378523,0.3590949208918725
PC2,-0.6261181599772923,-0.20427643951158914,-0.1506430016686461,-0.01369766726748388,0.34821121422950935,0.6497039296876832
PC3,0.6880846647518205,-0.3472347500214852,-0.33096791504226136,-0.2649546119842298,-0.00740932701303863,0.47557535384518157
PC4,0.10067576853537878,-0.34081552056874537,-0.21229065587777865,0.10675045928678445,0.7717796938074079,-0.47074652591904753
PC5,0.010635667973180801,-0.4929036271478652,-0.04941052868913877,0.8054941887972472,-0.323280609138495,0.03406253271280447
PC6,0.0025392496729318877,-0.5410827925950966,0.7944469204818762,-0.27523158278626425,0.0179848155123402,0.0010846904666422159
