principal_component,air_avg,soil_avg_02,soil_avg_04,soil_avg_08,soil_avg_20,soil_avg_40
PC1,0.3407885161925693,0.42790520255741415,0.45598140167991746,0.45992845382316944,0.41480341995900266,0.3305226563062312
PC2,-0.5393126637564452,-0.3344650705066958,-0.13232489780683973,0.008775160883149044,0.41543678130843514,0.6380441724762089
PC3,0.760334568410864,-0.3181598096305196,-0.30878552172441914,-0.30034196000833524,0.09254133162217515,0.355735843272309
PC4,0.08926212416958047,-0.4466624240042811,-0.06328190556545324,0.2701983050173604,0.6177985473002886,-0.5777873168552226
PC5,0.08323363703355359,-0.5299654374011226,0.15549008096843844,0.6327330083812727,-0.5146170874969517,0.15116158542358155
PC6,0.0009038127905592366,-0.3513316153066464,0.8068710054675646,-0.47415750235990634,0.01675451216254544,-0.02045504882012678
