principal_component,air_avg,soil_avg_02,soil_avg_04,soil_avg_08,soil_avg_20,soil_avg_40
PC1,0.34369877548816236,0.43340092970535404,0.43698111078465557,0.4407988628170531,0.4273394214466536,0.35518963398825865
PC2,0.6622337338862013,0.18311074889080675,0.1300849554929078,-0.012027321007986518,-0.29957622301373493,-0.6489254732651445
PC3,0.6607813529635701,-0.3430934918859383,-0.3281102131839722,-0.2758476103110999,0.011298123371365407,0.5116434263229191
PC4,0.07574193962020835,-0.40638228386987124,-0.2234511506398759,0.1840214813299537,0.7480785240526207,-0.4309301538270133
PC5,0.030786611337631255,-0.43143498120608864,-0.05899694196224247,0.7977063294414202,-0.4097366774473282,0.07222097698503015
PC6,-0.0009900260730642567,-0.5564514713298058,0.7943916196014432,-0.24343481335348344,-0.001354583488131283,0.006355419843964843
