week_number,air_avg,air_obs,soil_obs_02,soil_obs_08,soil_obs_20,soil_avg_02,soil_avg_08,soil_avg_20
61,41.87142857,37.11428571,33.42857143,32.14285714,30.28571429,36.28571429,32.42857143,30.28571429
62,30.41428571,29.52857143,33.42857143,33.57142857,31.0,33.85714286,33.0,31.0
63,37.85714286,35.48571429,33.42857143,33.14285714,31.14285714,34.8,33.4,31.2
64,47.22857143,45.95714286,42.57142857,40.85714286,36.0,43.16666667,40.16666667,35.5
65,51.35714286,44.05714286,42.57142857,42.42857143,38.14285714,47.5,43.5,38.83333333
66,57.25714286,52.14285714,48.85714286,47.85714286,42.42857143,51.85714286,47.28571429,42.57142857
67,55.3,51.22857143,49.71428571,49.14285714,44.42857143,52.28571429,48.57142857,44.57142857
68,51.82857143,50.64285714,50.0,50.28571429,46.42857143,50.42857143,48.85714286,46.0
69,45.47142857,39.51428571,42.28571429,44.28571429,42.14285714,45.42857143,43.71428571,41.57142857
70,44.02857143,42.75714286,43.57142857,44.42857143,42.14285714,44.57142857,43.42857143,41.85714286
71,46.0,41.57142857,41.57142857,42.71428571,40.57142857,43.85714286,42.28571429,40.42857143
72,45.14285714,43.68571429,44.28571429,44.85714286,42.28571429,45.42857143,44.0,42.14285714
73,45.64285714,42.51428571,42.28571429,43.14285714,41.57142857,43.71428571,42.85714286,41.42857143
74,48.77142857,46.75714286,42.71428571,43.57142857,41.71428571,44.71428571,43.14285714,41.57142857
75,33.72857143,34.04285714,38.42857143,40.28571429,39.71428571,38.57142857,39.28571429,39.14285714
76,30.87142857,29.4,33.42857143,34.71428571,35.42857143,33.71428571,34.28571429,35.14285714
77,26.27142857,24.12857143,32.14285714,32.85714286,33.28571429,32.0,32.66666667,33.33333333
78,27.47142857,27.78571429,32.0,32.0,32.14285714,33.0,32.28571429,32.28571429
79,32.98571429,31.21428571,31.14285714,32.0,32.0,31.14285714,32.0,32.0
80,34.64285714,34.17142857,31.0,31.14285714,31.57142857,31.0,31.14285714,31.42857143
81,18.92857143,19.28571429,30.85714286,31.0,31.0,30.71428571,31.0,31.0
82,19.0,18.44285714,29.85714286,31.0,31.0,30.0,31.0,31.0
83,31.7,31.94285714,30.0,31.0,31.0,30.0,31.0,31.0
84,5.414285714,6.9,28.57142857,30.0,31.0,28.42857143,29.85714286,31.0
85,12.7,12.04285714,28.28571429,29.0,30.28571429,28.14285714,29.0,30.14285714
86,9.9,10.91428571,27.28571429,28.57142857,29.71428571,27.14285714,28.42857143,29.71428571
87,-14.98571429,-14.21428571,25.14285714,26.71428571,28.57142857,25.0,26.42857143,28.57142857
88,-7.171428571,-7.614285714,23.28571429,25.14285714,27.28571429,23.28571429,25.14285714,27.14285714
89,14.61428571,13.6,23.28571429,24.57142857,26.0,23.42857143,24.57142857,26.0
90,13.65714286,14.88571429,24.57142857,25.57142857,26.42857143,24.71428571,25.57142857,26.57142857
91,-5.471428571,-3.885714286,23.57142857,25.0,26.28571429,23.42857143,24.85714286,26.28571429
92,14.94285714,13.48571429,22.71428571,24.0,25.28571429,23.0,24.14285714,25.28571429
93,13.17142857,13.24285714,23.85714286,24.85714286,25.57142857,23.57142857,24.57142857,25.42857143
94,-22.52857143,-19.74285714,21.0,22.85714286,24.57142857,20.85714286,22.57142857,24.28571429
95,-14.6,-18.34285714,18.57142857,20.42857143,22.57142857,19.0,20.42857143,22.42857143
96,19.28571429,19.95714286,21.14285714,21.85714286,22.57142857,21.28571429,22.0,22.85714286
97,18.2,18.95714286,21.42857143,22.28571429,23.57142857,21.0,22.28571429,23.42857143
98,-16.0,-14.94285714,19.28571429,20.85714286,22.0,19.28571429,20.85714286,22.0
99,-10.08571429,-13.58571429,19.85714286,20.71428571,22.0,20.14285714,21.0,22.0
100,1.714285714,1.914285714,21.0,21.71428571,22.28571429,21.28571429,21.85714286,22.42857143
101,-11.84285714,-12.77142857,21.57142857,22.42857143,23.0,21.28571429,22.28571429,22.85714286
102,3.314285714,2.185714286,20.28571429,21.0,22.0,20.28571429,21.14285714,22.0
103,-3.028571429,-4.314285714,21.0,22.0,22.0,21.0,22.0,22.0
104,3.371428571,1.557142857,21.0,22.0,22.0,21.0,22.0,22.0
105,8.885714286,5.728571429,21.0,22.0,22.0,21.0,22.0,22.0
106,20.5,18.81428571,21.71428571,22.0,22.42857143,21.66666667,22.0,22.5
107,20.5,18.97142857,22.0,22.57142857,23.0,22.0,22.57142857,23.0
108,16.94285714,13.74285714,22.0,22.57142857,23.0,22.0,22.66666667,23.0
109,25.2,20.25714286,22.0,22.14285714,23.0,22.14285714,22.28571429,23.0
110,29.5,28.37142857,23.14285714,23.42857143,23.57142857,23.42857143,23.57142857,23.57142857
111,32.54285714,29.78571429,25.71428571,25.14285714,25.0,25.85714286,25.42857143,25.0
112,34.12857143,31.65714286,29.85714286,29.0,27.71428571,30.0,29.28571429,27.71428571
113,37.82857143,36.07142857,31.0,30.0,29.0,31.0,30.0,29.0
114,39.97142857,34.75714286,31.0,30.28571429,29.14285714,31.14285714,30.42857143,29.57142857
115,41.68571429,35.08571429,33.28571429,31.85714286,30.0,37.42857143,31.85714286,30.14285714
116,48.41428571,42.92857143,39.42857143,38.14285714,32.42857143,42.28571429,37.28571429,32.57142857
117,52.0,46.5,43.14285714,41.57142857,36.71428571,45.57142857,41.14285714,36.71428571
118,56.18571429,51.28571429,46.71428571,45.0,40.0,49.14285714,44.57142857,40.0
119,56.12857143,51.91428571,48.71428571,47.57142857,42.14285714,51.71428571,46.85714286,42.28571429
120,59.01428571,54.02857143,50.71428571,49.57142857,44.57142857,53.14285714,48.85714286,44.28571429
121,48.98571429,49.6,47.28571429,47.14285714,44.28571429,48.14285714,46.28571429,44.0
122,54.44285714,51.22857143,47.71428571,47.57142857,44.0,49.42857143,46.85714286,43.85714286
123,53.95714286,49.55714286,48.42857143,48.14285714,44.57142857,50.42857143,47.85714286,44.57142857
124,42.94285714,42.02857143,44.42857143,46.0,44.28571429,45.0,45.0,43.85714286
125,42.25714286,38.48571429,40.85714286,42.0,40.28571429,42.14285714,41.28571429,40.42857143
126,31.1,31.85714286,37.14285714,38.42857143,38.42857143,37.0,38.0,38.0
127,35.31428571,32.07142857,32.71428571,33.71428571,34.14285714,32.57142857,33.42857143,34.0
128,36.38571429,34.08571429,33.57142857,34.57142857,34.0,34.28571429,34.28571429,33.85714286
129,41.7,41.37142857,35.42857143,36.0,34.85714286,36.42857143,35.85714286,34.85714286
130,23.14285714,23.02857143,32.28571429,33.0,33.42857143,32.14285714,32.71428571,33.0
131,29.35714286,27.7,31.0,32.0,32.0,31.0,32.0,32.0
132,25.84285714,27.12857143,31.0,31.0,31.57142857,31.0,31.28571429,31.57142857
133,18.64285714,18.5,31.0,31.0,31.0,31.0,31.0,31.0
134,7.785714286,7.828571429,31.0,31.0,31.0,31.0,31.0,31.0
135,23.24285714,22.04285714,31.0,31.0,31.0,31.0,31.0,31.0
136,24.78571429,24.74285714,31.0,31.0,31.0,31.0,31.0,31.0
137,13.57142857,14.3,31.0,31.0,31.0,31.0,31.0,31.0
138,4.857142857,3.542857143,30.57142857,31.0,31.0,30.14285714,31.0,31.0
139,5.557142857,6.457142857,30.0,31.0,31.0,30.0,31.0,31.0
140,10.25714286,10.38571429,29.0,30.14285714,31.0,29.0,30.14285714,31.0
141,12.4,13.94285714,29.0,29.85714286,30.85714286,29.0,29.85714286,30.71428571
142,13.02857143,14.32857143,29.0,29.42857143,30.0,29.0,29.71428571,30.0
143,26.61428571,27.21428571,29.0,29.0,30.0,29.0,29.0,30.0
144,3.8,2.585714286,28.28571429,29.0,29.85714286,28.0,29.0,29.85714286
145,9.328571429,11.2,27.71428571,28.71428571,29.0,27.57142857,28.57142857,29.0
146,14.62857143,15.27142857,26.28571429,27.28571429,28.71428571,26.14285714,27.14285714,28.71428571
147,-12.41428571,-8.2,26.71428571,27.71428571,28.85714286,26.42857143,27.57142857,28.71428571
148,-12.28571429,-13.02857143,24.42857143,26.0,27.42857143,24.42857143,25.71428571,27.42857143
149,6.585714286,5.157142857,25.42857143,26.0,27.0,25.57142857,26.0,27.0
150,20.75714286,20.62857143,26.0,26.42857143,27.0,26.0,26.42857143,27.0
151,19.34285714,19.52857143,26.71428571,27.0,27.57142857,26.85714286,27.0,27.71428571
152,1.028571429,4.128571429,27.0,27.0,28.0,27.0,27.0,28.0
153,9.485714286,7.171428571,26.0,27.0,27.28571429,26.0,27.0,27.28571429
154,9.428571429,7.3,26.0,26.85714286,27.0,26.0,26.85714286,27.0
155,6.871428571,6.3,26.0,26.57142857,27.0,26.0,26.71428571,27.0
156,14.47142857,11.24285714,26.0,27.0,27.0,26.0,27.0,27.0
157,10.7,11.74285714,26.0,26.0,27.0,26.0,26.0,27.0
158,12.61428571,9.0,26.0,26.0,27.0,26.0,26.0,27.0
159,13.91428571,11.0,26.0,26.0,27.0,26.0,26.0,27.0
160,10.52857143,7.357142857,26.0,26.0,27.0,26.0,26.0,27.0
161,27.62857143,24.82857143,26.0,26.28571429,27.0,26.0,26.28571429,27.0
162,21.31428571,18.12857143,26.85714286,27.0,27.0,26.85714286,27.0,27.0
163,36.34285714,33.95714286,29.57142857,28.85714286,28.14285714,29.85714286,29.14285714,28.14285714
164,30.18571429,28.52857143,31.0,30.0,29.28571429,30.85714286,30.0,29.57142857
165,36.98571429,32.57142857,30.85714286,30.85714286,30.0,30.85714286,30.85714286,30.0
166,45.02857143,41.01428571,31.0,31.0,30.0,31.0,31.0,30.0
167,29.57142857,28.68571429,31.0,31.0,30.0,31.0,31.0,30.14285714
168,35.47142857,33.51428571,31.14285714,31.0,31.0,31.85714286,31.0,31.0
169,47.15714286,42.72857143,38.57142857,35.85714286,31.71428571,41.57142857,36.0,32.0
170,53.41428571,50.27142857,45.57142857,43.57142857,38.0,48.33333333,43.5,38.5
171,46.68571429,45.55714286,43.14285714,42.57142857,39.14285714,44.85714286,42.14285714,38.85714286
172,47.7,45.57142857,44.57142857,44.71428571,40.85714286,46.85714286,44.0,40.85714286
173,52.87142857,48.65714286,44.85714286,44.28571429,40.85714286,47.28571429,44.14285714,40.85714286
