week_number,air_avg,air_obs,soil_obs_00,soil_obs_02,soil_obs_08,soil_obs_20,soil_avg_00,soil_avg_02,soil_avg_08,soil_avg_20
51,13.08571429,10.68571429,31.14285714,28.28571429,30.57142857,32.0,31.14285714,28.28571429,30.57142857,32.0
52,35.05714286,32.92857143,33.0,30.42857143,31.0,32.0,33.14285714,30.57142857,31.0,32.0
53,31.37142857,28.18571429,34.57142857,31.0,31.0,32.0,34.0,31.0,31.0,32.0
54,36.81428571,34.9,35.0,31.85714286,31.0,32.0,34.57142857,31.85714286,31.0,32.0
55,33.42857143,29.4,34.85714286,31.71428571,31.0,32.0,34.57142857,31.85714286,31.0,32.0
56,43.14285714,39.5,35.0,32.28571429,31.0,32.0,35.14285714,34.14285714,31.57142857,32.42857143
57,43.51428571,40.57142857,35.14285714,33.14285714,31.0,32.0,36.28571429,36.57142857,31.0,32.0
58,45.74285714,42.02857143,35.42857143,34.71428571,32.85714286,32.0,37.42857143,39.28571429,32.42857143,32.0
59,51.9,50.15714286,38.85714286,40.0,38.42857143,34.0,40.14285714,43.57142857,37.85714286,34.28571429
60,46.67142857,44.28571429,38.42857143,39.85714286,39.71428571,36.57142857,40.14285714,43.0,39.14285714,36.85714286
61,49.31428571,44.81428571,39.71428571,42.14285714,42.14285714,38.57142857,41.57142857,46.0,41.71428571,38.71428571
62,48.78571429,45.91428571,41.85714286,44.71428571,44.57142857,41.0,43.14285714,47.85714286,44.0,40.85714286
63,49.57142857,47.65714286,44.14285714,45.85714286,45.85714286,42.42857143,45.16666667,49.0,45.16666667,42.33333333
64,56.81428571,53.84285714,48.85714286,49.71428571,49.0,44.71428571,50.57142857,53.14285714,48.71428571,44.85714286
65,57.11428571,52.37142857,50.57142857,50.57142857,50.42857143,46.57142857,52.28571429,54.14285714,50.0,46.85714286
66,57.05714286,55.14285714,54.14285714,53.71428571,52.57142857,48.57142857,55.28571429,56.57142857,52.14285714,48.85714286
67,59.21428571,55.81428571,55.28571429,55.0,54.71428571,50.42857143,56.42857143,58.14285714,54.28571429,50.57142857
68,59.7,59.02857143,56.71428571,56.28571429,56.28571429,52.28571429,57.0,57.85714286,55.57142857,52.57142857
69,52.5,50.25714286,52.71428571,51.42857143,52.71428571,51.0,53.85714286,54.0,52.28571429,51.0
70,54.02857143,53.52857143,53.71428571,53.42857143,53.57142857,51.0,54.28571429,55.0,53.28571429,51.14285714
71,56.2,54.2,54.57142857,53.85714286,53.71428571,51.14285714,55.0,55.42857143,53.28571429,51.28571429
72,57.24285714,54.11428571,53.57142857,52.14285714,53.85714286,51.28571429,54.71428571,55.28571429,53.42857143,51.28571429
73,53.87142857,52.41428571,52.71428571,51.28571429,53.0,51.14285714,53.71428571,53.85714286,52.42857143,51.14285714
74,53.64285714,52.3,52.14285714,51.0,52.42857143,51.0,52.85714286,52.14285714,52.14285714,50.85714286
75,49.1,46.78571429,47.71428571,46.0,49.28571429,49.0,48.85714286,47.57142857,48.42857143,49.0
76,45.11428571,43.37142857,44.57142857,42.0,46.14285714,46.85714286,45.57142857,43.85714286,45.71428571,46.57142857
77,43.02857143,40.87142857,44.0,41.28571429,45.0,45.57142857,45.0,43.14285714,44.57142857,45.42857143
78,39.78571429,40.25714286,42.28571429,39.28571429,42.71428571,43.71428571,42.28571429,40.0,42.42857143,43.57142857
79,37.6,36.37142857,38.14285714,35.0,38.42857143,40.85714286,38.83333333,35.28571429,38.28571429,40.71428571
80,40.25714286,37.25714286,35.14285714,31.71428571,35.14285714,38.42857143,35.14285714,31.57142857,34.85714286,38.0
81,24.64285714,24.02857143,33.28571429,29.85714286,33.85714286,36.57142857,33.28571429,30.0,33.57142857,36.57142857
82,22.61428571,20.11428571,31.28571429,28.0,32.14285714,34.85714286,31.57142857,28.57142857,32.0,34.85714286
83,33.37142857,33.52857143,32.14285714,28.42857143,32.0,34.0,32.33333333,28.66666667,32.0,34.0
